field_code,domain_code,sub_domain,field_name,data_type,unit,vocabulary_code,required_default,allow_na,depends_on_field,depends_on_value,taxonomy_group,source_req,mvp_scope,sort_order,description
lab_ph,LAB_RESULTS,LAB,pH,number,pH,,N,Y,,,CORE,"R-15, Team sheet",MVP,30,pH typed in from LIMS for this sample and time point (no LIMS integration)
lab_visc1_value,LAB_RESULTS,VISCOSITY,Viscosity 1,number,mPa·s,,N,Y,,,SOP,Team sheet,MVP,40,"First viscosity result (e.g. Physica CC27, 100 1/s, 20°C)"
lab_visc1_instrument,LAB_RESULTS,VISCOSITY,Viscosity 1 instrument,select,,VISC_INSTRUMENT,N,N,,,SOP,Team sheet,MVP,41,Physica rheometer or Brookfield (Mural: align on one setting)
lab_visc1_geometry,LAB_RESULTS,VISCOSITY,Viscosity 1 geometry / spindle,text,,,N,N,,,SOP,Team sheet,MVP,42,e.g. CC27
lab_visc1_shear_rate,LAB_RESULTS,VISCOSITY,Viscosity 1 shear rate,number,1/s,,N,N,,,SOP,Team sheet,MVP,43,e.g. 100 or 1291
lab_visc1_temp_c,LAB_RESULTS,VISCOSITY,Viscosity 1 measurement temperature,number,°C,,N,N,,,SOP,Team sheet,MVP,44,e.g. 20
lab_visc2_value,LAB_RESULTS,VISCOSITY,Viscosity 2,number,mPa·s,,N,Y,,,SOP,Team sheet,MVP,50,Second viscosity result at another temperature or setting (e.g. 4°C)
lab_visc2_instrument,LAB_RESULTS,VISCOSITY,Viscosity 2 instrument,select,,VISC_INSTRUMENT,N,N,,,SOP,Team sheet,MVP,51,
lab_visc2_geometry,LAB_RESULTS,VISCOSITY,Viscosity 2 geometry / spindle,text,,,N,N,,,SOP,Team sheet,MVP,52,
lab_visc2_shear_rate,LAB_RESULTS,VISCOSITY,Viscosity 2 shear rate,number,1/s,,N,N,,,SOP,Team sheet,MVP,53,
lab_visc2_temp_c,LAB_RESULTS,VISCOSITY,Viscosity 2 measurement temperature,number,°C,,N,N,,,SOP,Team sheet,MVP,54,
lab_brix,LAB_RESULTS,LAB,Brix,number,°Bx,,N,Y,,,CORE,R-15,MVP,140,Brix typed in from LIMS
lab_particle_size_d50_um,LAB_RESULTS,LAB,Particle size D50,number,µm,,N,Y,,,CORE,R-15,MVP,150,Particle size D50 typed in from LIMS
lab_measured_at,LAB_RESULTS,LAB,Lab measurement date,datetime,,,N,N,,,SOP,Team sheet,MVP,160,"When the lab result was measured, from LIMS"
general_overview_photo,GENERAL_MEDIA,MEDIA,Full bottle photo (before pouring),media_photo,,,Y,N,,,CORE,R-17,MVP,10,Whole bottle in a controlled light environment before anything is poured; mandatory record for the time point
general_empty_bottle_photo,GENERAL_MEDIA,MEDIA,Emptied bottle photo (after pouring),media_photo,,,Y,N,,,SOP,"Kneil, SOP-202",MVP,20,"Bottom and walls of the emptied bottle, to assess sediment and coating; mandatory record for the time point"
general_beaker_photo,GENERAL_MEDIA,MEDIA,Poured product in beaker photo,media_photo,,,N,N,,,SOP,SOP-202,MVP,30,"Poured product, for serum and pour non-homogeneity"
general_pour_out_video,GENERAL_MEDIA,MEDIA,Pour-out video,media_video,,,N,N,,,CORE,R-17,MVP,40,Optional pour-out video of the sample
homog_unshaken_homogeneous,HOMOG,UNSHAKEN,Homogeneous when unshaken,boolean,,,Y,Y,,,CORE,R-07,MVP,10,Is the product homogeneous before shaking
homog_unshaken_appearance,HOMOG,UNSHAKEN,Unshaken appearance,select,,APPEARANCE,N,N,homog_unshaken_homogeneous,N,CORE,R-07,MVP,20,Descriptor of the non-homogeneous appearance
homog_unshaken_photo,HOMOG,UNSHAKEN,Unshaken photo,media_photo,,,Y,N,,,CORE,R-07,MVP,30,Photo evidence of the unshaken sample
homog_shaken_test_performed,HOMOG,SHAKEN,Shaken test performed,boolean,,,N,N,,,CORE,R-07,MVP,40,Optional shaken homogeneity test
homog_shaken_homogeneous,HOMOG,SHAKEN,Homogeneous after shaking,boolean,,,N,Y,homog_shaken_test_performed,Y,CORE,R-07,MVP,50,Is the product homogeneous after shaking
homog_post_shake_color_change,HOMOG,SHAKEN,Color change after shaking,boolean,,,N,N,homog_shaken_test_performed,Y,CORE,R-07,MVP,60,Did the color change after shaking
homog_post_shake_color_description,HOMOG,SHAKEN,Post-shake color description,select,,COLOR_DESC,N,N,homog_post_shake_color_change,Y,CORE,R-07,MVP,70,Controlled color descriptor after shaking
homog_post_shake_color_code,HOMOG,SHAKEN,Post-shake color code,code,,COLOR_CODE,N,N,homog_post_shake_color_change,Y,CORE,R-07,MVP,80,Standard color code after shaking
homog_shaken_photo,HOMOG,SHAKEN,Shaken photo,media_photo,,,N,N,homog_shaken_test_performed,Y,CORE,R-07,MVP,90,Photo evidence after shaking
homog_comments,HOMOG,GENERAL,Homogeneity comments,longtext,,,N,N,,,CORE,R-07,MVP,100,Supplementary homogeneity notes
cream_unsh_present,CREAMING,UNSHAKEN,Creaming present (unshaken),boolean,,,Y,Y,,,CORE,R-08,MVP,10,Is a cream layer present before shaking
cream_unsh_rating,CREAMING,UNSHAKEN,Creaming rating (unshaken),select,,RATING_CREAMING,Y,Y,,,SOP,SOP-202,MVP,15,SOP Table 2. Suggested from the ring thickness when measured; confirm or override
cream_unsh_layer_measurable,CREAMING,UNSHAKEN,Cream layer measurable,boolean,,,N,N,cream_unsh_present,Y,CORE,R-08,MVP,20,Can the cream layer thickness be measured
cream_unsh_layer_thickness_value,CREAMING,UNSHAKEN,Cream layer thickness,number,mm,,N,Y,cream_unsh_layer_measurable,Y,CORE,R-08,MVP,30,Measured thickness of the cream layer
cream_unsh_layer_thickness_unit,CREAMING,UNSHAKEN,Cream layer thickness unit,select,,UNIT_LENGTH,N,N,cream_unsh_layer_measurable,Y,CORE,R-08,MVP,40,Unit of the cream layer measurement
cream_unsh_layer_description,CREAMING,UNSHAKEN,Cream layer description,select,,CREAM_LAYER_DESC,N,N,cream_unsh_present,Y,CORE,R-08,MVP,50,"SOP Table 2 words: trace, slight thin ring, distinct 5 to 8 mm, heavy 8 to 10 mm, very heavy 10 mm or more"
cream_unsh_layer_color,CREAMING,UNSHAKEN,Cream layer color,select,,COLOR_DESC,N,N,cream_unsh_present,Y,CORE,R-08,MVP,60,"Cream is usually white or pale yellow; strawberry gives pink; real-food recipes can show an oily fat layer (SOP, Mural)"
cream_unsh_marbling_present,CREAMING,UNSHAKEN,Marbling present,boolean,,,N,N,cream_unsh_present,Y,CORE,R-08,MVP,70,Marbled fat pattern on the surface
cream_unsh_minor_spots_present,CREAMING,UNSHAKEN,Minor spots present,boolean,,,N,N,cream_unsh_present,Y,CORE,R-08,MVP,80,Isolated cream spots rather than a continuous layer
cream_unsh_surface_volume_pct,CREAMING,UNSHAKEN,Surface coverage,percent,%,,N,Y,cream_unsh_present,Y,CORE,R-08,MVP,90,"Share of the bottle that pours as cream layer, when a ruler cannot be used (SOP alternate method)"
cream_unsh_pour_exit_time_s,CREAMING,UNSHAKEN,Cream layer pour exit time,number,s,,N,Y,cream_unsh_present,Y,SOP,SOP-202,MVP,95,Seconds for the cream layer to exit the bottle while pouring (SOP alternate measure when a ruler cannot be used)
cream_unsh_photo,CREAMING,UNSHAKEN,Unshaken creaming photo,media_photo,,,Y,N,cream_unsh_present,Y,CORE,R-08,MVP,100,Photo evidence of the cream layer
cream_unsh_pour_out_video,CREAMING,UNSHAKEN,Pour-out video,media_video,,,N,N,cream_unsh_present,Y,CORE,R-08,MVP,110,Video of the pour-out showing cream behaviour
cream_unsh_pour_out_result,CREAMING,UNSHAKEN,Pour-out result,select,,POUR_RESULT,N,N,cream_unsh_present,Y,CORE,R-08,MVP,120,What remained in the container after pour-out
cream_sh_shakes_in,CREAMING,SHAKEN,Shakes in,boolean,,,N,N,cream_unsh_present,Y,CORE,R-08,MVP,130,Does the cream layer redisperse on shaking
cream_sh_rating,CREAMING,SHAKEN,Creaming rating (shaken),select,,RATING_CREAMING,N,Y,cream_unsh_present,Y,SOP,SOP-202,MVP,131,SOP Table 2 after the standard shake; 0 when the layer shakes in
cream_sh_result,CREAMING,SHAKEN,Shaken result,select,,SHAKE_RESULT,N,N,cream_unsh_present,Y,CORE,R-08,MVP,150,"Fully, partially or not redispersed"
cream_sh_residue_type,CREAMING,SHAKEN,Residue after shaking,multiselect,,CREAM_RESIDUE,N,N,cream_sh_result,PARTIAL|NOT_REDISPERSED,SOP,Mural,MVP,155,"What is left when the cream does not shake in: fat ring, flakes, plug at spout, skin or pad"
cream_sh_residual_pct,CREAMING,SHAKEN,Residual cream after shaking,percent,%,,N,Y,cream_sh_result,PARTIAL|NOT_REDISPERSED,CORE,R-08,MVP,160,Residual cream as percent of original layer
cream_sh_photo,CREAMING,SHAKEN,Shaken creaming photo,media_photo,,,N,N,cream_unsh_present,Y,CORE,R-08,MVP,170,Photo evidence after shaking
cream_emulsifier_flag,CREAMING,FLAGS,Emulsifier review flag,boolean,,,N,N,cream_unsh_present,Y,CORE,R-08,MVP,180,Flag the emulsifier system for formulation review
cream_rim_dried_residue_present,CREAMING,FLAGS,Dried residue on rim or foil seal,boolean,,,N,N,,,SOP,SOP-202,MVP,182,Dried or foamy product on the rim or seal is not creaming (SOP Figures 3 and 4); record it separately
cream_rim_residue_fatty,CREAMING,FLAGS,Rim residue feels fatty,boolean,,,N,N,cream_rim_dried_residue_present,Y,SOP,SOP-202,MVP,183,"SOP touch test: if the ring feels fatty it counts as creaming, not a foaming issue"
cream_market_restriction_flag,CREAMING,FLAGS,Market restriction flag,boolean,,,N,N,cream_emulsifier_flag,Y,CORE,R-08,MVP,190,Emulsifier options are restricted in the target market
cream_review_prompt,CREAMING,FLAGS,Creaming review guidance,guidance,,,N,N,cream_sh_result,PARTIAL|NOT_REDISPERSED,CORE,R-08,MVP,200,"If cream does not redisperse, review emulsifier system and homogenisation pressure"
cream_comments,CREAMING,GENERAL,Creaming comments,longtext,,,N,N,,,CORE,R-08,MVP,210,Supplementary creaming notes
serum_unsh_present,SERUM,UNSHAKEN,Serum separation present (unshaken),boolean,,,Y,Y,,,CORE,R-09,MVP,10,Is serum separation visible before shaking
serum_unsh_rating,SERUM,UNSHAKEN,Serum rating (unshaken),select,,RATING_SERUM,Y,Y,,,SOP,SOP-202,MVP,15,SOP Table 3. Suggested from the % of package volume when measured; confirm or override
serum_unsh_measurable,SERUM,UNSHAKEN,Serum layer measurable,boolean,,,N,N,serum_unsh_present,Y,CORE,R-09,MVP,20,Can the serum layer be measured
serum_unsh_value,SERUM,UNSHAKEN,Serum layer measurement,number,,,N,Y,serum_unsh_measurable,Y,CORE,R-09,MVP,30,Measured serum layer
serum_unsh_unit,SERUM,UNSHAKEN,Serum measurement unit,select,,UNIT_SERUM,N,N,serum_unsh_measurable,Y,CORE,R-09,MVP,40,"mm, mL or percent"
serum_unsh_pct_package_volume,SERUM,UNSHAKEN,Serum as percent of package volume,percent,%,,N,Y,serum_unsh_present,Y,CORE,R-09,MVP,50,Serum layer relative to nominal package volume
serum_unsh_locations,SERUM,UNSHAKEN,Serum locations,multiselect,,SERUM_LOCATION,N,N,serum_unsh_present,Y,CORE,R-09,MVP,60,Where the serum is observed in the container
serum_unsh_clarity,SERUM,UNSHAKEN,Serum clarity,select,,SERUM_CLARITY,N,N,serum_unsh_present,Y,CORE,R-09,MVP,70,"Clear, translucent or opaque serum"
serum_unsh_color,SERUM,UNSHAKEN,Serum color,select,,COLOR_DESC,N,N,serum_unsh_present,Y,CORE,R-09,MVP,80,Controlled color descriptor of the serum
serum_unsh_photo,SERUM,UNSHAKEN,Unshaken serum photo,media_photo,,,Y,N,serum_unsh_present,Y,CORE,R-09,MVP,90,Photo evidence of serum separation
serum_sh_shakes_in,SERUM,SHAKEN,Shakes in,boolean,,,N,N,serum_unsh_present,Y,CORE,R-09,MVP,100,Does the serum reincorporate on shaking
serum_sh_rating,SERUM,SHAKEN,Serum rating (shaken),select,,RATING_SERUM,N,Y,serum_unsh_present,Y,SOP,SOP-202,MVP,101,SOP Table 3 after the standard shake; 0 when it shakes in
serum_sh_value,SERUM,SHAKEN,Residual serum after shaking,number,,,N,Y,serum_sh_shakes_in,N,CORE,R-09,MVP,110,Serum remaining after the standard shake
serum_sh_unit,SERUM,SHAKEN,Residual serum unit,select,,UNIT_SERUM,N,N,serum_sh_shakes_in,N,CORE,R-09,MVP,120,"mm, mL or percent"
serum_sh_result,SERUM,SHAKEN,Shaken result,select,,SHAKE_RESULT,N,N,serum_unsh_present,Y,CORE,R-09,MVP,130,"Fully, partially or not reincorporated"
serum_sh_photo,SERUM,SHAKEN,Shaken serum photo,media_photo,,,N,N,serum_unsh_present,Y,CORE,R-09,MVP,140,Photo evidence after shaking
serum_gelation_flag,SERUM,FLAGS,Gelation suspected,boolean,,,N,N,serum_unsh_present,Y,CORE,R-09,MVP,150,Serum separation accompanied by gel formation
serum_protein_flag,SERUM,FLAGS,Protein instability suspected,boolean,,,N,N,serum_unsh_present,Y,CORE,R-09,MVP,160,Serum separation attributed to protein destabilisation
serum_resep_check_performed,SERUM,RESEPARATION,Re-separation check after shaking,boolean,,,N,N,,,SOP,SOP-202,SCHEMA_READY,160,For products with a consumer usage period (e.g. 24 h tube feeding): was the shaken product checked again later?
serum_resep_hours_after_shake,SERUM,RESEPARATION,Hours after shaking,number,h,,N,N,serum_resep_check_performed,Y,SOP,SOP-202,SCHEMA_READY,161,
serum_resep_present,SERUM,RESEPARATION,Serum re-formed,boolean,,,N,N,serum_resep_check_performed,Y,SOP,SOP-202,SCHEMA_READY,162,Re-separation within the usage period can be a product concern (SOP Peptamen example)
serum_resep_rating,SERUM,RESEPARATION,Re-separation serum rating,select,,RATING_SERUM,N,N,serum_resep_present,Y,SOP,SOP-202,SCHEMA_READY,163,
serum_resep_photo,SERUM,RESEPARATION,Re-separation photo,media_photo,,,N,N,serum_resep_present,Y,SOP,SOP-202,SCHEMA_READY,164,
serum_scale_up_viscosity_warning,SERUM,FLAGS,Scale-up viscosity warning,boolean,,,N,N,serum_unsh_present,Y,CORE,R-09,MVP,170,Low viscosity at bench may worsen serum separation at scale
serum_review_prompt,SERUM,FLAGS,Serum review guidance,guidance,,,N,N,serum_unsh_present,Y,CORE,R-09,MVP,180,Serum above 2% of package volume: review hydrocolloid and stabiliser system; confirm scale-up viscosity target
serum_comments,SERUM,GENERAL,Serum comments,longtext,,,N,N,,,CORE,R-09,MVP,190,Supplementary serum notes
sed_unsh_present,SEDIMENT,UNSHAKEN,Sediment present (unshaken),boolean,,,Y,Y,,,CORE,R-10,MVP,10,Is sediment present before shaking
sed_unsh_rating,SEDIMENT,UNSHAKEN,Sediment rating (unshaken),select,,RATING_SEDIMENT,Y,Y,,,SOP,SOP-202,MVP,15,SOP Table 4. Suggested from height and coverage when measured; bottles with a raised center (BOOST) need 4 mm for a 4
sed_unsh_height_value,SEDIMENT,UNSHAKEN,Sediment height (unshaken),number,mm,,N,Y,sed_unsh_present,Y,CORE,"R-10, SOP-202",MVP,30,"Ruler reading at the outer rim (SOP worst case), 0 mm at the edge"
sed_unsh_height_unit,SEDIMENT,UNSHAKEN,Sediment height unit,select,,UNIT_LENGTH,N,N,sed_unsh_present,Y,CORE,R-10,MVP,31,mm (SOP) or cm (older sheets)
sed_unsh_coverage,SEDIMENT,UNSHAKEN,Coverage of the bottom,select,,SED_COVERAGE,N,N,sed_unsh_present,Y,SOP,SOP-202,MVP,40,"Partial ring, complete ring, outer ring with clear center, entire bottom, depressions only"
sed_unsh_texture,SEDIMENT,UNSHAKEN,Sediment texture,select,,SED_TEXTURE,N,N,sed_unsh_present,Y,CORE,"R-10, Team sheet",MVP,50,"Loose, soft, compact, hard, sticky, lumpy, sandy, flaky"
sed_measurement_point,SEDIMENT,UNSHAKEN,Measured,select,,SED_MEAS_POINT,N,N,sed_unsh_present,Y,SOP,SOP-202,MVP,60,"Before pouring through a clear bottle, or after pouring in the emptied bottle (SOP default)"
sed_measurement_location,SEDIMENT,UNSHAKEN,Measurement location,select,,SED_MEAS_LOCATION,N,N,sed_unsh_present,Y,SOP,SOP-202,MVP,70,SOP: measure at the outer rim to record the worst case
sed_weight_g,SEDIMENT,UNSHAKEN,Sediment weight,number,g,,N,Y,sed_unsh_present,Y,SOP,SOP-202,MVP,80,Optional weighing when an empty package is available; more reliable than the 0 to 5 rating (SOP)
sed_bottle_cut_to_evaluate,SEDIMENT,UNSHAKEN,Bottle cut open to evaluate,boolean,,,N,N,sed_unsh_present,Y,SOP,SOP-202,MVP,90,Opaque bottles may need to be cut to see the sediment (SOP)
sed_bottle_coating_present,SEDIMENT,UNSHAKEN,Bottle coating present (not sediment),boolean,,,N,N,,,SOP,Team sheet,MVP,100,Thick product coating the walls after pouring; recorded separately because it is not true sediment
sed_unsh_photo,SEDIMENT,UNSHAKEN,Unshaken sediment photo,media_photo,,,Y,N,sed_unsh_present,Y,CORE,R-10,MVP,120,Photo evidence of sediment before shaking
sed_predominant_type,SEDIMENT,UNSHAKEN,Predominant sediment type,select,,SED_TYPE,Y,N,sed_unsh_present,Y,CORE,R-10,MVP,140,"Protein, mineral or cocoa; branches the sub-flow"
sed_prot_review_prompt,SEDIMENT,PROTEIN,Protein sediment guidance,guidance,,,N,N,sed_predominant_type,PROTEIN,CORE,R-10,MVP,150,"Hard or significant protein sediment, or clumps after shaking: flag to the team; check ionic balance (citrate) and the hydrocolloid system; protein type and level matter (Mural)"
sed_min_appearance,SEDIMENT,MINERAL,Mineral sediment appearance,select,,SED_MIN_APPEAR,N,N,sed_predominant_type,MINERAL,CORE,R-10,SCHEMA_READY,160,"Fine powder, gritty or crystalline"
sed_min_review_prompt,SEDIMENT,MINERAL,Mineral sediment guidance,guidance,,,N,N,sed_predominant_type,MINERAL,CORE,R-10,SCHEMA_READY,170,"Mineral deposits are a compliance concern for label claims: test the sediment and the beverage for minerals and flag to the project team; starch or hydrocolloids can help suspension (SOP, Mural)"
sed_coc_ring_present,SEDIMENT,COCOA,Cocoa ring present,boolean,,,N,N,sed_predominant_type,COCOA,CORE,R-10,SCHEMA_READY,180,Cocoa ring at the base of the container
sed_coc_settling_pct_volume,SEDIMENT,COCOA,"Cocoa settling, share of package",percent,%,,N,Y,sed_predominant_type,COCOA,SOP,Mural,MVP,190,Estimated share of the package with cocoa settling (e.g. bottom third)
sed_coc_review_prompt,SEDIMENT,COCOA,Cocoa sediment guidance,guidance,,,N,N,sed_predominant_type,COCOA,CORE,R-10,SCHEMA_READY,195,Cocoa settling is not necessarily sediment; it usually shakes in. Take a photo and estimate the share of the package affected (Mural)
sed_sh_rating,SEDIMENT,SHAKEN,Sediment rating (shaken),select,,RATING_SEDIMENT,N,Y,sed_unsh_present,Y,SOP,SOP-202,MVP,300,SOP Table 4 after the standard shake
sed_sh_height_value,SEDIMENT,SHAKEN,Sediment height (shaken),number,mm,,N,Y,sed_unsh_present,Y,CORE,"R-10, Team sheet",MVP,310,Residual sediment after shaking and pouring
sed_sh_height_unit,SEDIMENT,SHAKEN,Shaken sediment height unit,select,,UNIT_LENGTH,N,N,sed_unsh_present,Y,CORE,R-10,MVP,311,
sed_sh_shake_in_extent,SEDIMENT,SHAKEN,Shake-in extent,select,,SHAKE_EXTENT,N,N,sed_unsh_present,Y,CORE,R-10,MVP,320,How much of the sediment redispersed
sed_sh_lumps_present,SEDIMENT,SHAKEN,Shaking produced clumps,boolean,,,N,N,sed_unsh_present,Y,SOP,Mural,MVP,330,Sediment lifted from the bottom as clumps after shaking; flag to the team
sed_sh_photo,SEDIMENT,SHAKEN,Shaken sediment photo,media_photo,,,N,N,sed_unsh_present,Y,CORE,R-10,MVP,340,
sed_composition_test_requested,SEDIMENT,FLAGS,Composition test requested,boolean,,,N,N,sed_unsh_present,Y,SOP,SOP-202,MVP,350,Sediment sent for mineral / protein analysis when the type is unclear (SOP)
sed_comments,SEDIMENT,GENERAL,Sediment comments,longtext,,,N,N,,,CORE,R-10,MVP,400,Supplementary sediment notes
gel_gelled,GELLING,UNSHAKEN,Gelled,boolean,,,Y,Y,,,CORE,"R-11, SOP-202",MVP,10,"Product semi or fully solidified, hard to empty out (SOP). Soft gel that liquefies on shaking may not be a failure"
gel_type,GELLING,UNSHAKEN,Gel type,select,,GEL_TYPE,N,N,gel_gelled,Y,CORE,R-11,SCHEMA_READY,20,"Age gelation, thermal, microbial or undetermined"
gel_too_thick_to_pour,GELLING,UNSHAKEN,Too thick to pour,boolean,,,N,N,gel_gelled,Y,SOP,Team sheet,MVP,25,Product would not pour unshaken (the reason older sheets used 9999 for the unshaken ratings)
gel_firmness,GELLING,UNSHAKEN,Gel firmness,select,,GEL_FIRMNESS,N,N,gel_gelled,Y,CORE,R-11,MVP,30,"Soft, firm or rigid gel"
gel_shake_test_performed,GELLING,SHAKEN,Shake test performed,boolean,,,N,N,gel_gelled,Y,CORE,R-11,MVP,40,Was a shake test performed on the gel
gel_reversibility,GELLING,SHAKEN,Reversibility,select,,GEL_REVERSIBILITY,N,N,gel_shake_test_performed,Y,CORE,R-11,MVP,50,"Reversible, partially reversible or irreversible on shaking"
gel_spoilage_related,GELLING,FLAGS,Spoilage related,select,,TRI_STATE,N,N,gel_gelled,Y,CORE,R-11,MVP,60,Was the gel caused by micro or spoilage rather than the recipe? (Mural asks for this explicitly)
gel_observations,GELLING,GENERAL,Gel observations,longtext,,,N,N,gel_gelled,Y,CORE,R-11,SCHEMA_READY,70,Structured notes on the gel
gel_photo,GELLING,GENERAL,Gel photo,media_photo,,,N,N,gel_gelled,Y,CORE,R-11,MVP,80,Photo evidence of the gel
gel_comments,GELLING,GENERAL,Gelling comments,longtext,,,N,N,,,CORE,R-11,MVP,90,Supplementary gelling notes
nh_rippling_present,NON_HOMOG,UNSHAKEN,Rippling present,boolean,,,N,Y,,,CORE,"R-11, SOP-202",MVP,10,"Slight non-homogeneity heard or seen when pouring; not rated in the SOP, recorded here so trends can be seen"
nh_lumps_present,NON_HOMOG,UNSHAKEN,Lumps present,boolean,,,N,Y,,,CORE,R-11,MVP,20,"Clumps, chunks or lumps when pouring into a beaker or through a sieve (SOP)"
nh_lumps_severity,NON_HOMOG,UNSHAKEN,Lump severity,select,,SEVERITY,N,N,nh_lumps_present,Y,CORE,R-11,MVP,30,"Slight, moderate or severe"
nh_lumps_context,NON_HOMOG,UNSHAKEN,When lumps were seen,multiselect,,NH_CONTEXT,N,N,nh_lumps_present,Y,SOP,Mural,MVP,35,Unshaken pour shows risk of later gelling or sedimentation; lumps after shaking may be sediment lifting from the bottom; describe both
nh_lumps_size_class,NON_HOMOG,UNSHAKEN,Lump size class,select,,LUMP_SIZE,N,N,nh_lumps_present,Y,CORE,R-11,SCHEMA_READY,40,"Fine, small or large lumps"
